id,name,ward,address,addressToSearch,station,owner,timeOpen,timeClose,allDayFlg,capacity,biginDate,tel,lng,lat,accuracy
6001,帝国ホテルベビールーム,千代田区,内幸町1-1-1　帝国本館4階,東京都千代田区内幸町1-1-1,千代田線日比谷駅,有限会社宝珠ベビーケアサービス,7:00,0:00,,24,S57. 7.29,3506-8800,139.758912,35.672128,8
6002,東京しごとセンター託児室,千代田区,飯田橋3-10-3,東京都千代田区飯田橋3-10-3,JR総武線　飯田橋駅,財団法人東京しごと財団,9:00,20:00,,12,H19.6.28,5211-1571,139.74959,35.7,8
6003,ホテルニューオータニ　ベビールーム,千代田区,紀尾井町4-1　ホテルニュ-オ-タニ　ザ・メイン3階,東京都千代田区紀尾井町4-1,銀座線赤坂見付駅,有限会社宝珠ベビーケアサービス,,,○,8,H21.4.1,5213-5489,139.734872,35.681176,8
6004,東京逓信病院ひまわり育児室,千代田区,富士見2-14-23,東京都千代田区富士見2-14-23,JR総武線飯田橋駅,ひまわり育児室,7:15,20:00,,26,S39.3.2,5214-7070,139.74269,35.6976,8
6005,伸芽_sクラブ飯田橋,千代田区,飯田橋4-8-13タカラビル2階,東京都千代田区飯田橋4-8-13,JR総武線飯田橋駅,株式会社伸芽会,7:30,21:00,,70,H23.8.8,5210-1319,139.74619,35.70144,8
6006,小学館アカデミー昌平保育園,千代田区,外神田3-4-7,東京都千代田区外神田3-4-7,銀座線末広町駅,株式会社小学館集英社プロダクション,7:30,19:30,,25,H24.4.1,3526-3621,139.76984,35.70145,8
6007,マミーズエンジェル千代田保育園,千代田区,神田司町2-16,東京都千代田区神田司町2-16,JR山の手線　神田駅,株式会社マミーズエンジェル,7:30,18:30,,20,H25.4.1,3255-0085,139.7683609,35.6931727,8
6008,anton(アントン）,千代田区,神田佐久間町4-23片山ビル6階,東京都千代田区神田佐久間町4-23,JR総武線秋葉原駅,片山　知子,9:00,18:00,,5,H25.12.1,5823-4778,139.779766,35.697342,8
6009,ハイブリットマムプリスクールナーサリー千代田富士見,千代田区,富士見町1-6-1富士見ビルB1,東京都千代田区富士見町1-6-1,JR・地下鉄各線飯田橋駅,HybridMom株式会社,7:30,20:30,,40,H26.3.10,6272-4438,139.745943,35.69686,8
6010,もり保育園,千代田区,神田神保町2-24-6-2F,東京都千代田区神田神保町2-24-6,千代田線神保町駅,株式会社森商事,8:00,20:00,,18,H27.10.1,3221-1188,139.757106,35.697469,8
