id,name,ward,address,addressToSearch,station,owner,timeOpen,timeClose,allDayFlg,capacity,biginDate,tel,lng,lat,accuracy
7001,さくらインターナショナルスクール千代田校,千代田区,岩本町1-6-3 岩本町163ビル2階,東京都千代田区岩本町1-6-3 岩本町163ビル2階,日比谷線　小田馬町駅,株式会社関西国際学園,8:00,18:00,,18,H27.5.7,5825-9888,139.77679,35.69175,8
7002,ウイ インターナショナルプリスクール,中央区,銀座6-16-5 さ可井小川ビル3階,東京都中央区銀座6-16-5 さ可井小川ビル3階,都営浅草線東銀座駅,株式会社正コーポレーション,9:00,17:30,,28,H26.4.7,6808-9331,139.7659,35.66771,7
7003,FUTURE児童園・日本橋,中央区,日本橋富沢町14-1 北祥ビル1F,東京都中央区日本橋富沢町14-1 北祥ビル1F,都営浅草線東日本橋駅,シンコ―スポーツ株式会社,7:30,19:00,,35,S53.11.2,6264-9657,139.78304,35.68962,7
7004,EtonHouseInternational Preschool,港区,赤坂9-2-16,東京都港区赤坂9-2-16,大江戸線六本木駅,瀬尾　麻美,8:30,18:00,,56,H22.8.30,6804-3322,139.7323506,35.6677719,8
7005,K space,港区,白金台5-13-39,東京都港区白金台5-13-39,南北線白金台駅,Kspace 株式会社,9:00,17:00,,123,H17.8.29,3446-3478,139.7222108,35.6388056,8
7006,広尾シュタイナーこども園,港区,西麻布4-8-12,東京都港区西麻布4-8-12,日比谷線広尾駅,株式会社こどもとくらし,9:00,16:00,,15,H23.10.1,3400-0230,139.7215131,35.6568757,8
7007,ohana international school オハナインターナショナルスクール,港区,元麻布3-12-36R-mind Moto Azabu,東京都港区元麻布3-12-36R-mind Moto Azabu,南北線麻布十番駅,サクスシェリーベリンダ,7:30,17:30,,10,H21.12.16,3408-8888,139.7311594,35.656101,8
7008,キンダーキッズインターナショナルスクール品川校,港区,高輪4-10-31品川プリンスレジデンス1F,東京都港区高輪4-10-31品川プリンスレジデンス1F,JR山手線品川駅,株式会社キンダーキッズインターナショナル　　　　　　　　,7:45,18:15,,95,H25.9.9,5475-7717,139.7349712,35.6272574,8
7009,港区志田町保育室,港区,白金1-11-16,東京都港区白金1-11-16,三田線　白金駅南北線　高輪駅,港区,7:15,18:15,,107,H26.4.1,6722-2582,139.7334234,35.6456524,8
7010,CHATEAU SCHOOL,港区,西麻布3-17-3,東京都港区西麻布3-17-3,日比谷線六本木駅,CHATEAU　STAR　PTE.LTD.,8:00,18:00,,12,H27.6.1,6434-9689,139.7266014,35.6586562,8
7011,アイビー・チルドレンズルーム,新宿区,荒木町6-4ベルロジエ201,東京都新宿区荒木町6-4ベルロジエ201,丸ノ内線四谷三丁目駅,有限会社アイビー・チルドレンズルーム,9:30,13:30,,8,H14.4.1,3353-3390,139.72287,35.68912,7
7012,NPO法人おおやエンゼルルーム,新宿区,高田馬場2-7-1,東京都新宿区高田馬場2-7-1,JR山手線高田馬場駅,NPO法人おおやエンゼルルーム,9:00,18:00,,定員設定なし,,3200-7506,139.70906,35.71298,7
7013,保育ルームえどがわ園,新宿区,水道町1-28 江戸川小学校内,東京都新宿区水道町1-28 江戸川小学校内,有楽町線江戸川橋駅,新宿区,7:30,18:30,,30,H23.12.1,3266-7350,139.73619,35.70707,7
7014,早稲田インターナショナル,新宿区,高田馬場1-14-8 千代田ビル2号館,東京都新宿区高田馬場1-14-8 千代田ビル2号館,JR山手線高田馬場駅,フアントサド,8:30,17:30,,90,H24.4.1,6385-2818,139.70613,35.70922,7
7015,Meducare Bambino,新宿区,市谷仲之町3-34遠藤ビル1階,東京都新宿区市谷仲之町3-34遠藤ビル1階,都営新宿線曙橋駅,株式会社ウェルステート,8:00,18:00,,15,41183,5357-7124,139.72433,35.69435,7
